FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1481276|Alleghany Church|Church|VA|51|Montgomery|121|370930N|0802506W|37.1584625|-80.4183838|||||637|2090|Blacksburg|09/28/1979|
1481476|Barringer Mountain|Summit|VA|51|Montgomery|121|370817N|0802808W|37.1381839|-80.4689415|||||709|2326|Blacksburg|09/28/1979|
1481600|Margaret Beeks Elementary School|School|VA|51|Montgomery|121|371250N|0802421W|37.2140245|-80.4059565|||||655|2149|Blacksburg|09/28/1979|09/15/2010
1481617|Belmont|Populated Place|VA|51|Montgomery|121|370946N|0802649W|37.1629064|-80.4469961|||||632|2073|Blacksburg|09/28/1979|
1481618|Belmont Church|Church|VA|51|Montgomery|121|370953N|0802727W|37.1648506|-80.4575522|||||627|2057|Blacksburg|09/28/1979|
1482529|Christian Fellowship Evangelistic Tabernacle|Church|VA|51|Montgomery|121|370748N|0802712W|37.1301286|-80.4533852|||||640|2100|Blacksburg|09/28/1979|
1482533|Christiansburg Institute|School|VA|51|Montgomery|121|370822N|0802430W|37.1393318|-80.4083808|||||654|2146|Blacksburg|09/28/1979|09/15/2010
1482942|Davis Chapel|Church|VA|51|Montgomery|121|371441N|0802248W|37.2448517|-80.3800489|||||559|1834|Blacksburg|09/28/1979|
1483333|Fairview Church|Church|VA|51|Montgomery|121|371349N|0802943W|37.2304052|-80.4953317|||||590|1936|Blacksburg|09/28/1979|
1483429|Flag Cemetery|Cemetery|VA|51|Montgomery|121|370802N|0802331W|37.1340187|-80.3919937|||||644|2113|Blacksburg|09/28/1979|
1483546|Friends School|School|VA|51|Montgomery|121|370840N|0802455W|37.1445737|-80.4153281|||||641|2103|Blacksburg|09/28/1979|
1484082|High Knob|Summit|VA|51|Montgomery|121|371207N|0802258W|37.2020741|-80.3828268|||||724|2375|Blacksburg|09/28/1979|
1484100|Hightop Mission Church|Church|VA|51|Montgomery|121|371120N|0802415W|37.1890182|-80.4042165|||||666|2185|Blacksburg|09/28/1979|
1484143|Hoge Pond|Reservoir|VA|51|Montgomery|121|371323N|0802905W|37.2231631|-80.4846839|||||575|1886|Blacksburg|09/28/1979|06/27/2011
1484409|Jennelle Cemetery|Cemetery|VA|51|Montgomery|121|371110N|0802411W|37.1862405|-80.4031053|||||634|2080|Blacksburg|09/28/1979|
1484521|Kanodes Mill|Populated Place|VA|51|Montgomery|121|371417N|0802824W|37.2381833|-80.4733863|||||575|1886|Blacksburg|09/28/1979|
1484613|Kipps Cemetery|Cemetery|VA|51|Montgomery|121|371221N|0802737W|37.2059614|-80.4603302|||||623|2044|Blacksburg|09/28/1979|
1484856|Gilbert Linkous Elementary School|School|VA|51|Montgomery|121|371413N|0802532W|37.2370339|-80.4254241|||||641|2103|Blacksburg|09/28/1979|09/15/2010
1485283|McDonald Hollow|Valley|VA|51|Montgomery|121|371417N|0802824W|37.2381833|-80.4733863|371452N|0802924W|37.2477778|-80.49|575|1886|Blacksburg|09/28/1979|
1485341|Meadow Hollow|Valley|VA|51|Montgomery|121|371430N|0802820W|37.2417945|-80.4722752|371456N|0802903W|37.2488889|-80.4841667|589|1932|Blacksburg|09/28/1979|
1485525|Montgomery Primitive Baptist Church|Church|VA|51|Montgomery|121|371100N|0802438W|37.1834625|-80.4106057|||||650|2133|Blacksburg|09/28/1979|02/14/2007
1485531|Moon Hollow|Valley|VA|51|Montgomery|121|371146N|0802834W|37.196239|-80.4761641|371123N|0802752W|37.1897222|-80.4644444|584|1916|Blacksburg|09/28/1979|
1485591|Mount Hope Church|Church|VA|51|Montgomery|121|371020N|0802939W|37.1723498|-80.4942204|||||627|2057|Blacksburg|09/28/1979|
1485643|Mount Taber Church|Church|VA|51|Montgomery|121|370824N|0802930W|37.1401278|-80.4917202|||||624|2047|Blacksburg|09/28/1979|
1485844|New Hope Church|Church|VA|51|Montgomery|121|371204N|0802346W|37.2012405|-80.3961606|||||628|2060|Blacksburg|09/28/1979|
1485859|New Saint Peters Church|Church|VA|51|Montgomery|121|371410N|0802659W|37.2362393|-80.4497741|||||630|2067|Blacksburg|09/28/1979|
1486772|Roselawn Memorial Cemetery|Cemetery|VA|51|Montgomery|121|371007N|0802526W|37.1687401|-80.4239396|||||625|2051|Blacksburg|09/28/1979|
1487022|Shaffer Hollow|Valley|VA|51|Montgomery|121|371345N|0802957W|37.229294|-80.4992207|371450N|0802943W|37.2472222|-80.4952778|569|1867|Blacksburg|09/28/1979|
1487024|Shaffer Memorial Cemetery|Cemetery|VA|51|Montgomery|121|370747N|0802515W|37.1298515|-80.4208838|||||663|2175|Blacksburg|09/28/1979|
1487965|Town Branch|Stream|VA|51|Montgomery|121|370823N|0802452W|37.1398515|-80.4144947|370731N|0802435W|37.1252778|-80.4097222|606|1988|Blacksburg|09/28/1979|
1488139|Virginia Polytechnic Institute and State University|School|VA|51|Montgomery|121|371345N|0802526W|37.2292327|-80.4239694|||||630|2067|Blacksburg|09/28/1979|09/15/2010
1488172|Walls Branch|Stream|VA|51|Montgomery|121|371145N|0802859W|37.195961|-80.4831088|371307N|0802804W|37.2186111|-80.4677778|581|1906|Blacksburg|09/28/1979|
1488174|Walnut Branch|Stream|VA|51|Montgomery|121|370812N|0802324W|37.1367966|-80.3900492|370634N|0802342W|37.1095743|-80.3950494|630|2067|Blacksburg|09/28/1979|
1488224|Weller Baker School|School|VA|51|Montgomery|121|370841N|0802421W|37.1448517|-80.4058832|||||636|2087|Blacksburg|09/28/1979|
1488691|Blacksburg Ranger Station|Locale|VA|51|Montgomery|121|371634N|0802516W|37.2762395|-80.4211627|||||628|2060|Newport|07/01/1992|
1488704|Virginia Tech/Montgomery Executive Airport|Airport|VA|51|Montgomery|121|371222N|0802428W|37.2061754|-80.4078503|||||645|2116|Blacksburg|07/01/1992|04/13/2011
1488706|Blacksburg High School|School|VA|51|Montgomery|121|371436N|0802424W|37.2433403|-80.4065477|||||668|2192|Blacksburg|07/01/1992|09/15/2010
1488707|Harding Avenue Elementary School|School|VA|51|Montgomery|121|371404N|0802440W|37.2344918|-80.4109815|||||639|2096|Blacksburg|07/01/1992|09/15/2010
1488708|Montgomery County Park|Park|VA|51|Montgomery|121|371022N|0802442W|37.172907|-80.4117168|||||597|1959|Blacksburg|07/01/1992|
1488709|Virginia Polytechnic Institute and State University Horticultural Research Area|Locale|VA|51|Montgomery|121|370958N|0802505W|37.1662403|-80.418106|||||631|2070|Blacksburg|07/01/1992|
1488710|Hilltop Plaza|Populated Place|VA|51|Montgomery|121|371232N|0802345W|37.2090183|-80.3958828|||||640|2100|Blacksburg|07/01/1992|
1488711|Rolling Hills|Populated Place|VA|51|Montgomery|121|370955N|0802730W|37.1654062|-80.4583855|||||627|2057|Blacksburg|07/01/1992|
1488712|Belmont Farms|Populated Place|VA|51|Montgomery|121|370922N|0802649W|37.1562397|-80.4469961|||||610|2001|Blacksburg|07/01/1992|
1491182|Lane Stadium|Locale|VA|51|Montgomery|121|371312N|0802505W|37.2201289|-80.418106|||||627|2057|Blacksburg|09/28/1979|12/21/2010
1491243|Round Meadow Country Club|Locale|VA|51|Montgomery|121|370829N|0802621W|37.1415177|-80.4392179|||||631|2070|Blacksburg|09/28/1979|
1491278|Swanee Hollow Country Club|Locale|VA|51|Montgomery|121|371437N|0802615W|37.2437395|-80.4375514|||||626|2054|Blacksburg|09/28/1979|
1493279|Merrimac|Populated Place|VA|51|Montgomery|121|371122N|0802532W|37.1895733|-80.4256063|||||605|1985|Blacksburg|09/28/1979|03/17/2008
1493455|Price Mountain|Summit|VA|51|Montgomery|121|371113N|0802741W|37.1870726|-80.4614413|||||757|2484|Blacksburg|09/28/1979|
1493456|Prices Fork|Populated Place|VA|51|Montgomery|121|371235N|0802924W|37.2098497|-80.4900537|||||619|2031|Blacksburg|09/28/1979|01/29/2011
1493565|Yellow Sulphur|Populated Place|VA|51|Montgomery|121|371017N|0802348W|37.1715185|-80.3967161|||||561|1841|Blacksburg|09/28/1979|
1493566|Yellow Sulphur Springs|Populated Place|VA|51|Montgomery|121|371042N|0802350W|37.1784628|-80.3972718|||||576|1890|Blacksburg|09/28/1979|
1493739|Vicker|Populated Place|VA|51|Montgomery|121|370949N|0802916W|37.1637389|-80.4878313|||||547|1795|Blacksburg|09/28/1979|
1493740|Vicker Heights|Populated Place|VA|51|Montgomery|121|370954N|0802839W|37.165128|-80.477553|||||597|1959|Blacksburg|09/28/1979|
1498405|Blacksburg|Populated Place|VA|51|Montgomery|121|371346N|0802450W|37.2295733|-80.4139393|||||633|2077|Blacksburg|09/28/1979|03/17/2008
1498467|Christiansburg|Populated Place|VA|51|Montgomery|121|370747N|0802432W|37.1298517|-80.4089389|||||638|2093|Blacksburg|09/28/1979|03/17/2008
1498594|Virginia Tech Airport|Airport|VA|51|Montgomery|121|371227N|0802428W|37.2076292|-80.4078279|||||643|2110|Blacksburg|09/01/1992|
1498918|WKEX-AM (Blacksburg)|Tower|VA|51|Montgomery|121|371357N|0802639W|37.2326283|-80.4442183|||||627|2057|Blacksburg|07/01/1994|
1498919|WKEX-AM (Blacksburg)|Tower|VA|51|Montgomery|121|371416N|0802839W|37.2379055|-80.4775532|||||615|2018|Blacksburg|07/01/1994|
1498920|WFNR-AM (Blacksburg)|Tower|VA|51|Montgomery|121|370801N|0802116W|37.1337417|-80.3544921|||||659|2162|Ironto|07/01/1994|
1498921|WKEX-AM (Blacksburg)|Tower|VA|51|Montgomery|121|371357N|0802639W|37.2326283|-80.4442183|||||627|2057|Blacksburg|07/01/1994|
1498925|WJJJ-AM (Christiansburg)|Tower|VA|51|Montgomery|121|370911N|0802456W|37.1531849|-80.4156058|||||651|2136|Blacksburg|07/01/1994|
1498969|WUVT-FM (Blacksburg)|Tower|VA|51|Montgomery|121|371328N|0802429W|37.2245735|-80.4081056|||||645|2116|Blacksburg|07/01/1994|
1498970|WVVV-FM (Blacksburg)|Tower|VA|51|Montgomery|121|370911N|0802456W|37.1531849|-80.4156058|||||651|2136|Blacksburg|07/01/1994|
1502739|WYDD-TV (Blacksburg)|Tower|VA|51|Montgomery|121|371504N|0803042W|37.251238|-80.5117216|||||826|2710|Eggleston|07/01/1994|
1502822|WJJJ Radio Tower (Tazewell)|Tower|VA|51|Montgomery|121|370910N|0802456W|37.1529071|-80.4156058|||||648|2126|Blacksburg|07/01/1992|
1674451|Agnew Hall|Building|VA|51|Montgomery|121|371329N|0802527W|37.224851|-80.4242174|||||625|2051|Blacksburg|11/13/1995|
