FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1481345|Asbury Church|Church|VA|51|Highland|091|382607N|0793312W|38.4353981|-79.5533807|||||818|2684|Monterey|09/28/1979|
1481376|Back Creek Mountain|Ridge|VA|51|Highland|091|381800N|0794131W|38.3001227|-79.6919947|||||1162|3812|Mustoe|09/28/1979|
1481379|Back Draft|Valley|VA|51|Highland|091|381547N|0792945W|38.2631803|-79.4958772|381442N|0792800W|38.2451254|-79.4667094|546|1791|McDowell|09/28/1979|
1481521|Bear Hollow|Valley|VA|51|Highland|091|381754N|0794722W|38.2984553|-79.7894981|381657N|0794654W|38.2825|-79.7816667|801|2628|Paddy Knob|09/28/1979|
1481534|Bearcamp Knob|Summit|VA|51|Highland|091|382913N|0793912W|38.4870628|-79.6533846|||||1256|4121|Hightown|09/28/1979|
1481557|Bearwallow Run|Stream|VA|51|Highland|091|383205N|0793800W|38.5348396|-79.6333847|383340N|0793933W|38.5611111|-79.6591667|944|3097|Thornwood|09/28/1979|
1481636|Benson Run|Stream|VA|51|Highland|091|381540N|0792954W|38.2612358|-79.4983772|381441N|0792523W|38.244848|-79.4230968|546|1791|McDowell|09/28/1979|
1481637|Benson Run Trail|Trail|VA|51|Highland|091|381416N|0792800W|38.2379033|-79.4667093|||||625|2051|Deerfield|09/28/1979|
1481682|Beulah Presbyterian Church|Church|VA|51|Highland|091|381819N|0794344W|38.3054002|-79.7289405|||||712|2336|Mustoe|09/28/1979|08/10/2007
1481720|Big Crooked Ridge|Ridge|VA|51|Highland|091|381806N|0794757W|38.3017886|-79.7992208|||||1022|3353|Paddy Knob|09/28/1979|
1481724|Big End|Ridge|VA|51|Highland|091|381727N|0794615W|38.2909557|-79.7708862|||||1028|3373|Paddy Knob|09/28/1979|
1481731|Big Hill|Summit|VA|51|Highland|091|381907N|0792929W|38.3187346|-79.4914332|||||820|2690|McDowell|09/28/1979|
1481771|Big Ridge|Ridge|VA|51|Highland|091|381837N|0794605W|38.3103998|-79.7681085|||||1011|3317|Paddy Knob|09/28/1979|
1481795|Big Valley|Basin|VA|51|Highland|091|381557N|0793803W|38.2659572|-79.6342148|||||827|2713|Mustoe|09/28/1979|
1481796|Big Valley Cemetery|Cemetery|VA|51|Highland|091|381454N|0793859W|38.2484575|-79.6497706|||||813|2667|Burnsville|09/28/1979|
1481824|Black Gum Draft|Valley|VA|51|Highland|091|382119N|0792456W|38.3554012|-79.4155976|382059N|0792350W|38.3497222|-79.3972222|636|2087|McDowell|09/28/1979|
1481847|Blights Run|Stream|VA|51|Highland|091|382952N|0793929W|38.4978959|-79.6581071|382911N|0793905W|38.4863889|-79.6513889|1040|3412|Hightown|09/28/1979|
1481852|Blue Grass|Populated Place|VA|51|Highland|091|383000N|0793259W|38.5001188|-79.5497702|||||777|2549|Monterey|09/28/1979|
1481853|Blue Grass Cemetery|Cemetery|VA|51|Highland|091|383005N|0793303W|38.5015077|-79.5508813|||||783|2569|Snowy Mountain|09/28/1979|
1481878|Bluegrass Valley|Valley|VA|51|Highland|091|382953N|0793222W|38.4981745|-79.539492|382601N|0793800W|38.4337309|-79.6333833|759|2490|Monterey|09/28/1979|
1481914|Bolar Run|Stream|VA|51|Highland|091|381346N|0794143W|38.2295686|-79.6953275|381650N|0793800W|38.2806791|-79.6333816|636|2087|Burnsville|09/28/1979|05/11/2011
1481915|Bolar Spring|Spring|VA|51|Highland|091|381259N|0794025W|38.2163648|-79.6736171|||||686|2251|Burnsville|09/28/1979|04/19/2011
1481941|Botkin Hollow|Valley|VA|51|Highland|091|382426N|0792654W|38.4073441|-79.448377|382431N|0792453W|38.4086111|-79.4147222|717|2352|Doe Hill|09/28/1979|
1481987|Bridge Hollow|Valley|VA|51|Highland|091|381557N|0794523W|38.2659565|-79.7564409|381612N|0794635W|38.27|-79.7763889|674|2211|Paddy Knob|09/28/1979|
1482000|Briery Draft|Valley|VA|51|Highland|091|381716N|0792742W|38.2879023|-79.4617096|381512N|0792639W|38.2533333|-79.4441667|573|1880|McDowell|09/28/1979|
1482014|Broad Run|Stream|VA|51|Highland|091|382416N|0794027W|38.4045647|-79.6742176|382450N|0794220W|38.4138889|-79.7055556|853|2799|Hightown|09/28/1979|
1482061|Brushy Fork|Stream|VA|51|Highland|091|381344N|0793147W|38.229014|-79.5297668|381138N|0792946W|38.1940146|-79.4961545|514|1686|Williamsville|09/28/1979|
1482073|Brushy Mountain|Summit|VA|51|Highland|091|383123N|0793029W|38.5231741|-79.5081024|||||1258|4127|Snowy Mountain|09/28/1979|
1482080|Brushy Ridge|Ridge|VA|51|Highland|091|381637N|0794551W|38.2770672|-79.764219|||||893|2930|Paddy Knob|09/28/1979|
1482110|Buck Hill|Summit|VA|51|Highland|091|381902N|0793358W|38.3173452|-79.5661577|||||1003|3291|Monterey SE|09/28/1979|
1482123|Buck Run|Stream|VA|51|Highland|091|383341N|0793640W|38.5615057|-79.6111623|383502N|0793824W|38.584005|-79.6400526|867|2844|Snowy Mountain|09/28/1979|
1482152|Buffalo Knob|Summit|VA|51|Highland|091|382516N|0792108W|38.4212338|-79.352263|||||915|3002|Palo Alto|09/28/1979|
1482163|Bullpasture Gorge|Valley|VA|51|Highland|091|381147N|0793413W|38.1965142|-79.5703234|381229N|0793507W|38.2080556|-79.5852778|495|1624|Williamsville|09/28/1979|
1482176|Burners Run|Stream|VA|51|Highland|091|382509N|0793409W|38.4192873|-79.5692144|382531N|0793538W|38.4252778|-79.5938889|848|2782|Monterey|09/28/1979|
1482211|Cabin Hollow|Valley|VA|51|Highland|091|381442N|0792845W|38.2451252|-79.4792098|381324N|0792800W|38.2233333|-79.4666667|595|1952|Deerfield|09/28/1979|
1482289|Campbell Run|Stream|VA|51|Highland|091|382322N|0794101W|38.389565|-79.6836623|382427N|0794224W|38.4075|-79.7066667|821|2694|Hightown|09/28/1979|
1482292|Campground Hollow|Valley|VA|51|Highland|091|381518N|0794536W|38.2551234|-79.760052|381559N|0794710W|38.2663889|-79.7861111|664|2178|Paddy Knob|09/28/1979|
1482324|Mount Carlyle|Summit|VA|51|Highland|091|381556N|0793353W|38.2656799|-79.5647682|||||698|2290|Monterey SE|09/28/1979|
1482336|Carroll Draft|Stream|VA|51|Highland|091|382302N|0792359W|38.3840119|-79.3997641|382232N|0792248W|38.3755556|-79.38|688|2257|Doe Hill|09/28/1979|
1482434|Central Church|Church|VA|51|Highland|091|382953N|0793323W|38.4981744|-79.5564371|||||773|2536|Monterey|09/28/1979|
1482530|Christian Run|Stream|VA|51|Highland|091|383311N|0793641W|38.5531727|-79.6114399|383213N|0793559W|38.5369444|-79.5997222|891|2923|Snowy Mountain|09/28/1979|
1482531|Christian Run Trail|Trail|VA|51|Highland|091|383249N|0793607W|38.5470617|-79.601995|||||1036|3399|Snowy Mountain|09/28/1979|
1482535|Church Hollow|Valley|VA|51|Highland|091|381837N|0792545W|38.3104021|-79.4292087|381750N|0792453W|38.2972222|-79.4147222|607|1991|McDowell|09/28/1979|
1482557|Claylick Hollow|Valley|VA|51|Highland|091|381613N|0793238W|38.2704021|-79.5439343|381733N|0793324W|38.2925|-79.5566667|573|1880|Monterey SE|09/28/1979|
1482595|Clover Lick Hollow|Valley|VA|51|Highland|091|381647N|0792719W|38.2798469|-79.4553205|381556N|0792709W|38.2655556|-79.4525|600|1968|McDowell|09/28/1979|
1482631|Cold Spring Run|Stream|VA|51|Highland|091|383344N|0793612W|38.5623391|-79.6033842|383310N|0793531W|38.5527778|-79.5919444|855|2805|Snowy Mountain|09/28/1979|
1482657|Collins Run|Stream|VA|51|Highland|091|382932N|0793957W|38.4923404|-79.6658851|382916N|0794138W|38.4877778|-79.6938889|1067|3501|Hightown|09/28/1979|
