FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
169384|Billy Creek State Wildlife Area|Park|CO|08|Ouray|091|381556N|1074257W|38.2655448|-107.715892|||||2393|7851|Buckhorn Lakes|11/01/1991|
169448|Ouray Memorial Cemetery|Cemetery|CO|08|La Plata|067|370731N|1073739W|37.1252815|-107.6275572|||||1978|6489|Gem Village|10/13/1978|
178405|Camp Chief Ouray|Locale|CO|08|Grand|049|395830N|1055532W|39.9749863|-105.9255696|||||2699|8855|Bottle Pass|10/13/1978|
180347|Ouray Peak|Summit|CO|08|Chaffee|015|390315N|1063354W|39.0541581|-106.5650304|||||3928|12887|Independence Pass|10/13/1978|
185908|Ouray Spring|Spring|CO|08|Montrose|085|382154N|1081556W|38.3650724|-108.2656603|||||2892|9488|Ute|10/13/1978|04/18/2011
185940|Paradox Road|Trail|CO|08|Ouray|091|381800N|1080439W|38.2999884|-108.0775708|||||2822|9258|Pryor Creek|10/13/1978|
185943|Donley Camp|Locale|CO|08|Ouray|091|381954N|1080646W|38.3316549|-108.1128502|||||2759|9052|Pryor Creek|10/13/1978|
185947|West Fork Spring Creek|Stream|CO|08|Ouray|091|381938N|1080008W|38.3272102|-108.0022893|381708N|1080453W|38.2855556|-108.0813889|2252|7388|Pryor Creek|10/13/1978|
185949|Middle Fork Spring Creek|Stream|CO|08|Ouray|091|381949N|1075954W|38.3302658|-107.9984002|381650N|1080458W|38.2805441|-108.0828489|2232|7323|Government Springs|10/13/1978|
187090|Blue Lake Pass|Gap|CO|08|Ouray|091|375952N|1074743W|37.9977711|-107.7953395|||||3953|12969|Telluride|10/13/1978|
